LAMMPS data file via write_data, version 29 Oct 2020, timestep = 0

72 atoms
129 38 61 44 43 59
130 39 62 44 43 58
131 69 60 44 43 59
132 71 62 44 43 42
133 74 62 44 43 59
134 5 46 45 41 39
135 14 47 45 41 39
136 33 63 45 41 57
137 44 46 45 41 42
138 58 63 45 47 48
139 73 63 45 41 39
140 80 47 45 41 42
141 85 63 45 41 42
142 12 64 46 45 41
143 60 64 46 45 63
144 89 64 46 45 47
145 24 48 47 45 41
146 25 45 47 48 38
147 68 48 47 45 46
148 15 65 48 49 50
149 21 65 48 47 45
150 29 65 48 38 39
151 34 65 48 38 37
152 37 49 48 38 39
153 43 49 48 47 45
154 67 65 48 38 54
155 70 47 48 38 39
156 72 49 48 38 37
157 88 47 48 38 37
158 6 50 49 48 38
159 28 67 49 48 38
160 42 67 49 50 51
161 46 67 49 48 65
162 50 66 49 50 51
163 52 50 49 48 47
164 56 67 49 48 47
165 76 66 49 48 47
166 82 66 49 48 38
167 90 66 49 48 65
168 7 51 50 49 48
169 8 52 51 50 49
170 35 68 51 50 49
171 79 69 51 50 49
172 13 70 52 51 50
173 17 72 52 51 50
174 20 72 52 51 69
175 40 71 52 51 50
176 47 71 52 51 69
177 48 72 52 51 68
178 54 71 52 51 68
179 55 70 52 51 69
180 66 70 52 51 68

Impropers

1 4 2 1 3 12
2 6 2 1 18 3
3 1 3 2 4 5
4 5 12 2 11 13
5 7 3 2 19 4
6 14 12 2 11 29
7 8 5 3 21 6
8 9 7 8 22 6
9 10 7 8 23 6
10 2 5 9 3 6
11 3 9 10 11 5
12 13 9 10 27 5
13 15 13 12 30 14
14 16 13 12 14 31
15 17 15 16 14 32
16 11 8 25 24 7
17 12 8 26 24 7
18 18 15 33 14 16
19 19 16 34 35 15
20 20 16 34 36 15
21 4 38 37 39 48
22 6 38 37 54 39
23 1 39 38 40 41
24 5 48 38 47 49
25 7 39 38 55 40
26 14 48 38 47 65
27 8 41 39 57 42
28 9 43 44 58 42
29 10 43 44 59 42
30 2 41 45 39 42
31 3 45 46 47 41
32 13 45 46 63 41
33 15 49 48 66 50
34 16 49 48 50 67
35 17 51 52 50 68
36 11 44 61 60 43
37 12 44 62 60 43
38 18 51 69 50 52
39 19 52 70 71 51
40 20 52 70 72 51
